CHIESI SA,Médecin,BIA PAUL,13/12/2013,13/12/2013 - 13/12/2013,Autre : HOSPITALITE RP,,
LES LABORATOIRES SERVIER,Médecin,BIA PAUL,12/06/2014,12/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BIA PAUL,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BIA PAUL,18/11/2013,18/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BIA PAUL,16/01/2014,16/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LOL PHARMA,Pharmacien,GUESNON ET DALIBOT GUESNON ET DALIBOT,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GUESNON ET DALIBOT GUESNON ET DALIBOT,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,BIA PAUL,11/06/2014,11/06/2014 - 11/06/2014,Autre : Réunion scientifique,,
MSD France,Médecin,BIA PAUL,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,30/05/2013,30/05/2013 - 01/06/2013,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,16/05/2013,16/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,30/03/2012,30/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BIA PAUL,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BIA PAUL,13/11/2012,13/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BIA PAUL,13/06/2013,13/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,13/06/2013,13/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,10/06/2014,10/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BIA PAUL,24/04/2014,24/04/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,BIA PAUL,04/02/2014,04/02/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BIA PAUL,19/06/2014,19/06/2014 -,CONVENTION D'HOSPITALITE,,
