A+A,Médecin,SI BACHIR MOHAMED,05/11/2012,30/10/2012 -,ETUDE DE MARCHE,,
AMGEN SAS,Médecin,ANDRIAN JAFINTSALAMA HARI,21/11/2013,21/11/2013 - 21/11/2013,AUTRE [CONVENTION D HOSPITALITE],,
AMGEN SAS,Médecin,DARRAJ AMMAR,21/11/2013,21/11/2013 - 21/11/2013,AUTRE [CONVENTION D HOSPITALITE],,
ASTRAZENECA,Médecin,ANDRIAN JAFINTSALAMA HARI,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,ANDRIAN JAFINTSALAMA HARI,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,DARRAJ AMMAR,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PELLET FRANCOIS,15/05/2014,15/05/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ANDRIAN JAFINTSALAMA HARI,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,ALLARD CHRISTIAN,12/11/2013,12/11/2013 -,[FORMATION],,
Lilly France SAS,Médecin,SI BACHIR MOHAMED,25/09/2013,25/09/2013 - 25/09/2013,INVITATION,,
LOL PHARMA,Pharmacien,VERCIER TOUREILLE CLAIRE LISE VERCIER TOUREILLE CLAIRE LISE,24/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VERCIER TOUREILLE CLAIRE LISE VERCIER TOUREILLE CLAIRE LISE,24/05/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VERCIER TOUREILLE CLAIRE LISE VERCIER TOUREILLE CLAIRE LISE,24/05/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MUNDIPHARMA,Médecin,ANDRIAN JAFINTSALAMA AUGUSTIN,14/02/2014,14/02/2014 -,AUTRE: CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,ANDRIAN JAFINTSALAMA HARI,14/02/2014,14/02/2014 -,AUTRE: CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA REGORDANE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA REGORDANE / SARL,23/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA REGORDANE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA REGORDANE / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Pharmacien,VERCIER CLAIRE LISE,14/11/2013,14/11/2013 -,AUTRE : HOSPITALITE - VISITE DE SITE INDUSTRIEL,,
