3M France,Chirurgien-dentiste,BEAURENAULT OLIVIER,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
ASTRAZENECA,Médecin,LEMASSON STEPHANE,12/09/2013,12/09/2013 -,Formation,,
IMS Medical Radar,Médecin,MION Fran‡ois,08/11/2013,08/11/2013 - 08/11/2013,autre: ETUDE,,
IPSEN PHARMA,Médecin,HENIQUEZ JACQUES,20/03/2014,20/03/2014 - 20/03/2014,CONVENTION D'HOSPITALITE,,
Kantar Health,Médecin,CARTALAT CAREL STEPHANIE,03/03/2014,03/03/2014 - 03/03/2014,[MARKETING],,
Kantar Health,Médecin,CARTALAT CAREL STEPHANIE,26/03/2014,26/03/2014 - 26/03/2014,[MARKETING],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HENIQUEZ JACQUES,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HENIQUEZ JACQUES,02/02/2012,02/02/2012 -,Autre : [Convention d hospitalite],,
LABORATOIRES MAYOLY SPINDLER,Médecin,HENIQUEZ Jacques,17/06/2014,17/06/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,HENIQUEZ JACQUES,08/10/2013,08/10/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,HENIQUEZ JACQUES,14/11/2013,14/11/2013 - 14/11/2013,INVITATION,,
Lilly France SAS,Médecin,HENIQUEZ JACQUES,05/11/2013,05/11/2013 - 05/11/2013,INVITATION,,
MSD France,Médecin,HENIQUEZ JACQUES,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HENIQUEZ JACQUES,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HENIQUEZ JACQUES,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
Takeda France,Médecin,HENIQUEZ Jacques,21/11/2013,21/11/2013 - 21/11/2013,Autre: [Convention d'hospitalité],,
