A+A,Médecin,ILARDO SALVADORE,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
FERRING SAS,Infirmier,FORNER SONIA,15/05/2014,15/05/2014 - 15/05/2014,Formation,,
FERRING SAS,Infirmier,HAMON RÉMI,15/05/2014,15/05/2014 - 15/05/2014,Formation,,
LABORATOIRES COLOPLAST,Infirmier,HANON REMI,19/01/2014,19/01/2014 -,Congrès / Symposium,,
MSD France,Médecin,BREGEAULT YVES PHILIPPE,31/05/2013,31/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BREGEAULT YVES PHILIPPE,25/09/2012,25/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BREGEAULT YVES PHILIPPE,08/02/2012,08/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BREGEAULT DUPRAT ANNIE,31/05/2013,31/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BREGEAULT DUPRAT ANNIE,25/09/2012,25/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BREGEAULT DUPRAT ANNIE,08/02/2012,08/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CHAMPION CHRISTELLE,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,CHAMPION CHRISTELLE,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE CUNAT,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
