A+A,Médecin,FREBY CAYOTTE MARIE CHRISTINE,09/04/2013,08/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BOULOGNE MICHAEL,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,FREBY CAYOTTE M CHRISTINE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FREBY CAYOTTE M CHRISTINE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCHAND PHILIPPE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MOUCHETTE ALINE,13/11/2013,13/11/2013 -,Formation,,
MSD France,Médecin,MAIRE FRANCIS,19/10/2012,19/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAIRE FRANCIS,20/06/2012,20/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAIRE FRANCIS,09/02/2012,09/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAIRE FRANCIS,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARCHAND PHILIPPE,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCHAND PHILIPPE,14/05/2014,14/05/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,MARCHAND PHILIPPE,15/04/2014,15/04/2014 -,CONVENTION D'HOSPITALITE,,
