A+A,Médecin,FERAND JEAN PAUL,14/01/2013,11/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BARRE JEANNETTE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FAURE JACQUES,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FAURE JACQUES,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLON CYRIL,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLON CYRIL,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLON CYRIL,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLON CYRIL,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JALLET CORALIE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,JALLET CORALIE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,JALLET CORALIE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PLISSON KARAM LAURENCE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PLISSON KARAM LAURENCE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,QIDOUCH HASSAN,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,QIDOUCH HASSAN,05/12/2013,05/12/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLISSON KARAM LAURENCE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARSALET MARIE LAURE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAVIEL MAGALIE,15/04/2014,15/04/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,PLISSON KARAM LAURENCE,05/10/2013,05/10/2013 - 06/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,PLISSON KARAM LAURENCE,27/11/2013,27/11/2013 - 27/11/2013,Autre : [ hospitalité ],,
