A+A,Médecin,DUDEK PASCALE,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,MEDAM DJOMO MICHELE ANGE,04/02/2014,04/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
Actelion Pharmaceuticals France,Médecin,FRANCOIS MICHEL,17/10/2013,17/10/2013 - 17/10/2013,AUTRE [CONNEXION],,
All Global,Médecin,Dudek Pascale,16/01/2014,15/01/2014 -,[Marketing],,
ASTRAZENECA,Médecin,CRETEUR WILLE VALERIE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,CRETEUR WILLE VALERIE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GRASSET VINCENT,15/01/2014,15/01/2014 -,Formation,,
ASTRAZENECA,Médecin,JOOMUN FAWAZ,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ONDIK BORIS,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,TEILHET PATRICK,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,THENAWHA NOUGHA CYR CLAUDE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,THENAWHA NOUGHA CYR CLAUDE,13/03/2014,13/03/2014 -,Formation,,
Axess Research,Médecin,COLLET OLIVIER,07/04/2014,07/04/2014 - 07/04/2014,Autre : ETUDE DE MARCHE,,
B3TSI,Médecin,PIERCHON FABRICE,17/06/2014,17/06/2014 -,autre : enquête téléphonique,,
B3TSI,Médecin,PIERCHON FABRICE,16/06/2014,16/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,CASTELLIER CELINE,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COLLET OLIVIER,20/02/2014,20/02/2014 - 20/02/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DUDEK PASCALE,05/06/2014,05/06/2014 - 08/06/2014,CONGRES / SYMPOSIUM,,
Bayer HealthCare SAS,Médecin,MEDAM DJOMO MICHELE ANGE,08/06/2013,08/06/2013 - 08/06/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GRASSET VINCENT,05/02/2014,05/02/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
