3M France,Chirurgien-dentiste,GIRARD JEAN LUC,04/12/2013,04/12/2013 -,FORMATION,,
3M France,Chirurgien-dentiste,ROUBAUD THIERRY,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,BRUNET MARIE BENEDICTE,05/11/2012,30/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,30/01/2013,30/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,02/12/2013,02/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,10/12/2013,10/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,26/11/2012,26/11/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,17/01/2013,17/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,01/03/2013,01/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,22/06/2012,21/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,26/11/2012,20/11/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GRUNBERG BERNARD,28/09/2012,27/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,NABITZ HELENE,05/03/2012,02/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,PECHEUX MERYL JULIEN,11/10/2013,11/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PECHEUX MERYL JULIEN,01/03/2012,29/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,PECHEUX MERYL JULIEN,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PECHEUX MERYL JULIEN,06/06/2012,06/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,PECHEUX MERYL JULIEN,26/07/2012,26/07/2012 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,GUIONNET BRIGITTE,05/03/2014,05/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ZADELIS CHARLOTTE,05/03/2014,05/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
