ASTRAZENECA,Médecin,CAMPINOS STEPHANE,08/10/2013,08/10/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAMPINOS STEPHANE,26/03/2014,26/03/2014 - 26/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUIER VINCENT,26/03/2014,26/03/2014 - 26/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUIER VINCENT,19/03/2014,19/03/2014 - 19/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASSIS RITA,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARDY CAROLE,19/03/2014,19/03/2014 - 19/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Lohmann & Rauscher,Infirmier,LUCAS BRIGITTE,16/01/2014,16/01/2014 -,FORMATION,,
MSD France,Médecin,CAMPINOS STEPHANE,18/06/2014,18/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JACQUIER VINCENT,18/06/2014,18/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TARDY CAROLE,18/06/2014,18/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,CAMPINOS STEPHANE,09/04/2014,09/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,CAMPINOS STEPHANE,05/03/2014,05/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,JACQUIER VINCENT,09/04/2014,09/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,JACQUIER VINCENT,05/03/2014,05/03/2014 -,CONVENTION D'HOSPITALITE,,
