A+A,Médecin,MARCHAND DENIS,10/04/2013,09/04/2013 -,ETUDE DE MARCHE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BONNEAU MICHEL,03/04/2014,03/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNEAU MICHEL,21/11/2013,21/11/2013 - 21/11/2013,Autre : [ hospitalité ],,
Laboratoires Grünenthal SAS,Médecin,BONNEAU MICHEL,20/03/2014,20/03/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,19/06/2014,19/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,06/11/2013,06/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,05/04/2014,05/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,13/02/2014,13/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BONNEAU MICHEL,12/03/2014,12/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,BONNEAU MICHEL,18/02/2014,18/02/2014 - 18/02/2014,Autre : Réunion scientifique,,
MSD France,Médecin,BONNEAU MICHEL,19/03/2013,19/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BONNEAU MICHEL,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BONNEAU MICHEL,02/10/2013,02/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BONNEAU MICHEL,04/09/2012,04/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BONNEAU MICHEL,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BONNEAU MICHEL,03/09/2012,03/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BONNEAU MICHEL,17/10/2012,17/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BONNEAU MICHEL,20/06/2012,20/06/2012 -,CONVENTION D HOSPITALITE,,
