3M France,Association professionnel de santé,ASSOCIATION DE PATHOLOGIE ET CHIRURGIE VASCULAIRE,01/10/2013,05/10/2013 -,AUTRE : [STAND/TABLE],,
A+A,Médecin,CHATRENET PHILIPPE,11/09/2012,10/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GARGOT SYLVIE,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,KADOUN IMAD,09/12/2013,09/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,KADOUN IMAD,15/10/2012,12/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,KADOUN IMAD,11/04/2013,11/04/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MAILLARD JEAN BAPTISTE,07/03/2012,07/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MAILLARD JEAN BAPTISTE,06/03/2013,06/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PLATEAU CLAIRE,05/04/2013,03/04/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,REMPLON PHILIPPE,30/03/2012,29/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,REMPLON PHILIPPE,20/01/2012,19/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SPITZ EFTIMIE CHRISTINE,15/11/2012,14/11/2012 -,ETUDE DE MARCHE,,
AbbVie,Association professionnel de santé,ANRC,22/11/2013,22/11/2013 -,AUTRE: [CONTRAT DE PRESTATIONS DE SERVICES],,
AbbVie,Médecin,BORDET PHILIPPE,08/10/2013,08/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,GARGOT SYLVIE,12/09/2013,12/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,LUQUIN VILDY DOMINIQUE,12/09/2013,12/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,RAMIALISON CLAUDE,03/06/2014,03/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,RIVAIN BRIGITTE,05/03/2014,05/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,RIVAIN BRIGITTE,08/10/2013,08/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,KADOUN IMAD,25/03/2014,25/03/2014 - 25/03/2014,Autre : RÃ©union scientifique,,
