A+A,Médecin,ROUSSEL DESSIEUX LENAICK,07/02/2012,02/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CHAUVIN GERARD,04/12/2013,04/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,CHAUVIN GERARD,17/06/2014,17/06/2014 - 17/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,ROUSSEL DESSIEUX LENAICK,05/11/2013,05/11/2013 - 05/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHAUVIN GERARD,15/10/2013,15/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
JANSSEN-CILAG,Médecin,CHAUVIN GERARD,28/05/2013,28/05/2013 - 28/05/2013,CONGRES / SYMPOSIUM,,
LABCATAL,Association professionnel de santé,SOCIETE D HOMEOPATHIE DE L OUEST,10/03/2014,29/03/2014 - 29/03/2014,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAUVIN GERARD,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,MARCHAIS CELINE,19/01/2014,19/01/2014 -,Congrès / Symposium,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,19/11/2013,20/11/2013 - 20/11/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,12/05/2014,12/05/2014 - 12/05/2017,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,18/02/2014,13/02/2014 - 13/02/2017,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,23/01/2014,29/01/2014 - 29/01/2017,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,17/12/2013,07/11/2013 - 07/11/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,27/11/2013,02/12/2013 - 02/12/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,17/12/2013,07/11/2013 - 07/11/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,27/11/2013,02/12/2013 - 02/12/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,15/11/2013,19/11/2013 - 19/11/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,19/11/2013,20/11/2013 - 20/11/2016,Evaluation,,
Laboratoires Juva Production,Autres types de personne morale,AGROBIO,15/11/2013,19/11/2013 - 19/11/2016,Evaluation,,
