A+A,Médecin,MERMBERG PIERRE FRANÇOIS,19/07/2012,18/07/2012 -,ETUDE DE MARCHE,,
ABBOTT FRANCE,Médecin,TIAM Banique,23/07/2013,16/11/2013 -,Congres, Symposium,,
ASTRAZENECA,Médecin,BIOCHE PASCAL,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,GIROUX THIERRY,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GIROUX THIERRY,23/01/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,By Agnès,20/02/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,Gaulard Florence,20/02/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,JAAFARI Mariam,20/02/2014,23/01/2014 -,Formation,,
IPSEN PHARMA,Médecin,BEAUCHEF HUBERT,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,BIOCHE PASCAL,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,CASTEL YANNICK,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,GIROUX THIERRY,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,LAFON PATRICK,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,LAUNAY PASCAL,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,NAISSEH SAER,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,PORASZKA PAULINE,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,VERGEZ JEAN MICHEL,05/11/2013,05/11/2013 - 05/11/2013,CONVENTION HOSPITALITE,,
JANSSEN-CILAG,Infirmier,JEANNE DIT FOUQUE REMY,27/09/2013,27/09/2013 - 27/09/2013,CONGRES / SYMPOSIUM,,
Kantar Health,Médecin,BOUMEDIENE BENDEHIBA,28/02/2014,28/02/2014 - 28/02/2014,[MARKETING],,
KEOCYT,Autres types de personne morale,FAMAR L'AIGLE,06/09/2013,06/09/2013 -,CONSEIL,,
