A+A,Pharmacien,DEBORD BRUNO,05/07/2012,04/07/2012 -,ETUDE DE MARCHE,,
MSD France,Médecin,FILIPPI CHARLES,18/09/2012,18/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,FILIPPI CHARLES,18/10/2012,18/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,DEBORD BRUNO,20/06/2012,20/06/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELAVENNE CHRISTINE,27/02/2014,27/02/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELAVENNE CHRISTINE,17/10/2013,17/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELAVENNE CHRISTINE,16/01/2014,16/01/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELAVENNE CHRISTINE,14/11/2013,14/11/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELAVENNE CHRISTINE,11/07/2013,11/07/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,MARTEL ERIC,19/03/2014,19/03/2014 - 19/03/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CHATEAU / SELARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
