A+A,Médecin,LAMOTTE JEAN FRANCOIS,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Médecin,DUGARDIN FABRICE,13/12/2013,13/12/2013 - 14/12/2013,CONGRES / SYMPOSIUM,,
ASTRAZENECA,Médecin,CLAEYS THOMAS,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DAUGENET CHRISTIAN,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLION PATRICE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HERBIN ERIC,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,HERBIN ERIC,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HERBIN ERIC,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HERBIN ERIC,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LAUNAY PATRICK,30/01/2014,30/01/2014 -,Formation,,
B3TSI,Médecin,DUGARDIN FABRICE,18/06/2014,18/06/2014 -,autre : enquête téléphonique,,
BARD FRANCE SAS,Médecin,RIVIERE JOEL,28/01/2014,28/01/2014 - 31/01/2014,MANIFESTATION PROFESSIONNELLE,,
BARD FRANCE SAS,Médecin,RIVIERE JOEL,12/12/2013,12/12/2013 - 13/12/2013,MANIFESTATION PROFESSIONNELLE,,
Bayer HealthCare SAS,Médecin,DAUGENET CHRISTIAN,21/03/2013,21/03/2013 - 22/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GUILLION PATRICE,21/03/2013,21/03/2013 - 22/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,HERBIN ERIC,21/03/2013,21/03/2013 - 22/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HERBIN ERIC,28/11/2013,28/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAUNAY PATRICK,28/11/2013,28/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAUNAY PATRICK,19/11/2013,19/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RIGAUD FRANCOISE,28/11/2013,28/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
