ASTRAZENECA,Médecin,MAURIAC PHILIPPINE,27/05/2014,27/05/2014 -,Formation,,
BIOGARAN,Pharmacien,SION ETIENNE,09/01/2014,01/01/2014 - 31/12/2014,CONSEIL,,
BIOGARAN,Pharmacien,SION ETIENNE,21/03/2012,01/02/2013 - 31/12/2013,CONSEIL,,
COVIDIEN FRANCE S.A.S.,Médecin,MAURIAC PHILIPPINE,11/10/2013,11/10/2013 -,HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,16/01/2014,16/01/2014 - 16/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHET CLAIRE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,06/02/2014,06/02/2014 - 06/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIAC PHILIPPINE,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
