BOIRON,Pharmacien,BELLENGER CATHERINE,17/04/2014,17/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELANNOY DOMINIQUE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELANNOY DOMINIQUE,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELANNOY DOMINIQUE,11/03/2014,11/03/2014 - 11/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELANNOY DOMINIQUE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELANNOY DOMINIQUE,27/03/2014,27/03/2014 - 27/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES GILBERT,Association professionnel de santé,UPP 38,05/02/2014,01/01/2014 - 31/12/2014,Autre,,
LES LABORATOIRES SERVIER,Médecin,DELANNOY DOMINIQUE,04/07/2013,04/07/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,DELANNOY DOMINIQUE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
MALLINCKRODT FRANCE SARL,Médecin,BRULE Arthur,27/09/2013,24/10/2013 -,Formation,,
MALLINCKRODT FRANCE SARL,Médecin,MENESTRIER Jean,09/10/2013,24/10/2013 -,Formation,,
MSD France,Médecin,DELANNOY DOMINIQUE,29/05/2012,29/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DELANNOY DOMINIQUE,25/09/2012,25/09/2012 -,CONVENTION D HOSPITALITE,,
OCEAN TERRE BIOTECHNOLOGIE,Association professionnel de santé,UPP 38,05/02/2014,01/01/2014 - 31/12/2014,Autre,,
SANOFI AVENTIS FRANCE,Infirmier,GENOVESE PADEY CORINNE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,SANTOS JULIE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,BOURGEOIS JEAN CHRISTOPHE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE DOUCIER / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE DOUCIER / SARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE DOUCIER / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
