A+A,Médecin,VOISIN PIERRE,21/11/2012,20/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CHANVRY DOMINIQUE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HEMON JOELLE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LAURANS STEVEN,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,LAURANS STEVEN,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LE DALL CHARLOTTE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LE MAT BLANDINE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LESUR HELENE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PENVERNE FRANCOISE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,THIRIOT ROGER MARIE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,VOISIN PIERRE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Pharmacien,PINSON PASCAL ANTOINE,21/02/2014,21/02/2014 -,Formation,,
CHIESI SA,Médecin,LAURANS STEVEN,10/09/2013,10/09/2013 - 10/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LESUR HELENE,18/03/2014,18/03/2014 - 18/03/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LESUR HELENE,10/09/2013,10/09/2013 - 10/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,THIRIOT ROGER MARIE,18/03/2014,18/03/2014 - 18/03/2014,Autre : HOSPITALITE RP,,
JANSSEN-CILAG,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOUAN MORGANE,18/02/2014,18/02/2014 - 18/02/2014,CONGRES / SYMPOSIUM,,
Kantar Health,Médecin,LAMY Régine,27/01/2014,01/01/2014 - 31/01/2014,Marketing,,
Kantar Health,Médecin,LAMY Régine,20/02/2014,01/02/2014 - 31/03/2014,Marketing,,
Kantar Health,Médecin,LE PENHER DIANA,14/05/2014,14/05/2014 - 14/05/2014,[MARKETING],,
