ASTRAZENECA,Pharmacien,RODIER DAVID,12/12/2013,12/12/2013 -,Formation,,
BOSTON SCIENTIFIC SAS,Infirmier,GARCES CÉCILE,12/12/2013,12/12/2013 - 13/12/2013,CONGRES / SYMPOSIUM,,
BOSTON SCIENTIFIC SAS,Infirmier,GUILLOU CORINNE,12/12/2013,12/12/2013 - 13/12/2013,CONGRES / SYMPOSIUM,,
BOSTON SCIENTIFIC SAS,Infirmier,ROUGER VALÉRIE,20/06/2013,20/06/2013 - 21/06/2013,CONGRES / SYMPOSIUM,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE RODIER,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MISSLEN MICHEL,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WARTEL LAURENT,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Lilly France SAS,Médecin,MISSLEN MICHEL,27/05/2014,27/05/2014 - 27/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MSD France,Médecin,MISSLEN MICHEL,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PORTRON FLORENCE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,MISSLEN MICHEL,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,RODIER DAVID,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE RODIER / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE RODIER / SELARL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE RODIER / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,PICHON VARLET ROMANE,15/04/2014,15/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,PICHON VARLET ROMANE,04/02/2014,04/02/2014 -,AUTRE: [ETUDE DE MARCHE],,
