A+A,Médecin,MARTINEZ CHUECOS JUAN,26/11/2012,21/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Association professionnel de santé,Association de Formation Médicale Continue du Hauts Doubs DE LA COTE VERMEILLE,30/01/2014,30/01/2014 -,Autre,,
ASTRAZENECA,Médecin,BRIEN JEAN PIERRE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRIEN JEAN PIERRE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MERCEY CATHERINE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MERCEY YVES,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,RENNER DINO,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,VANOUCHE CHRISTOPHE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,VANOUCHE CHRISTOPHE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VANOUCHE CHRISTOPHE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VANOUCHE CHRISTOPHE,15/04/2014,15/04/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIEN JEAN PIERRE,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIEN JEAN PIERRE,21/11/2013,21/11/2013 - 21/11/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIEN JEAN PIERRE,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAY DENIS,30/05/2013,30/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAY DENIS,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAY DENIS,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAFFORGUE ANNE,21/11/2013,21/11/2013 - 21/11/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERCEY CATHERINE,30/05/2013,30/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERCEY CATHERINE,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
