AXONAL,Chirurgien-dentiste,SAUZET Philippe,21/01/2014,21/01/2014 -,CONVENTION RECHERCHE,,
Bayer HealthCare SAS,Médecin,BADET LAURENCE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GIROUX HALLOT CATHERINE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLIN ISABELLE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Sage-femme,BECKER CHRISTINE,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Sage-femme,BECKER CHRISTINE,26/11/2013,26/11/2013 -,[FORMATION],,
BSN-RADIANTE SAS,Association professionnel de santé,Syndicat National de l'Orthopédie Française,17/02/2014,01/01/2014 - 31/12/2014,Autre,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIROUX HALLOT CATHERINE,10/10/2013,10/10/2013 - 10/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,GUINOT MICHELOT SANDRINE,10/10/2013,10/10/2013 - 10/10/2013,Autre : [ hospitalité ],,
DJO France SAS,Etablissement de santé,SYNDICAT NATIONAL DE L'ORTHOPEDIE FRANCAISE,17/11/2013,17/11/2013 - 18/11/2013,Salon Syndicat National de l'Orthopédie Française, les 17 et 18 novembre 2013, à l'espace Charenton de Paris.,,
DJO France SAS,Etablissement de santé,SYNDICAT NATIONAL DE L'ORTHOPEDIE FRANCAISE,02/04/2014,15/11/2014 - 16/11/2014,SALON SNOF, organisé par le Syndicat National de l'Orthopédie Française les 15 et 16 nov 2014 à La Plaine Saint-Denis.,,
GIBAUD,Association professionnel de santé,SYNDICAT NATIONAL DE L'ORTHOPEDIE FRANCAISE,01/07/2013,01/07/2013 -,Congrès / Symposium,,
GIBAUD,Association professionnel de santé,SYNDICAT NATIONAL DE L'ORTHOPEDIE FRANCAISE,18/09/2013,18/09/2013 -,Publicité,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCOIS YVES,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCOIS YVES,22/05/2014,22/05/2014 - 23/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,CLERGET NATHALIE,15/04/2014,15/04/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,XX GAUTHIER,15/04/2014,15/04/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BADET Laurence,09/01/2014,09/01/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,GIROUX HALLOT CATHERINE,27/03/2014,27/03/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GUINOT SANDRINE,27/03/2014,27/03/2014 -,Autre : Manifestation scientifique,,
