EXAFIELD,Pharmacien,DES REMPARTS DES REMPARTS,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BADOR CHRISTIAN,05/06/2014,05/06/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BADOR CHRISTIAN,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU HERVE,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU HERVE,14/03/2012,14/03/2012 -,Autre : [Convention d hospitalite],,
LABORATOIRES URGO,Infirmier,BARA AURELIE,26/09/2013,26/09/2013 -,HOSPITALITE,,
LASER,Médecin,MODRIC VINCENT,22/02/2012,22/02/2012 - 30/04/2014,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,BADOR CHRISTIAN,13/03/2014,13/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BERNARDEAU HERVE,04/12/2013,04/12/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,BADOR CHRISTIAN,17/04/2014,17/04/2014 - 17/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MODRIC VINCENT,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
PASCALEO,Médecin,BERNARDEAU HERVE,25/06/2014,25/06/2014 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,BADOR CHRISTIAN,14/11/2013,14/11/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MODRIC VINCENT,14/11/2013,14/11/2013 -,CONVENTION D'HOSPITALITE,,
RESAL,Médecin,MODRIC VINCENT,22/02/2012,22/02/2012 - 30/04/2014,RECHERCHE,,
SANOFI AVENTIS FRANCE,Médecin,AWADA HASSAN,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BERNARDEAU HERVE,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,DUBOIS JEAN MICHEL,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MODRIC VINCENT,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES REMPARTS / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
