3M France,Association professionnel de santé,SOCIETE ODONTO-STOMATOLOGIQUE DE BASSE NORMANDIE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : [STAND],,
3M France,Association professionnel de santé,SOSBN,02/02/2013,02/02/2013 -,AUTRE : [STAND/TABLE],,
3M France,Association professionnel de santé,SOSBN,11/04/2013,11/04/2013 -,AUTRE : [STAND/TABLE],,
3M France,Association professionnel de santé,SOSBN,04/03/2013,21/06/2013 -,AUTRE : [STAND/TABLE],,
3M France,Association professionnel de santé,SOSBN,12/12/2013,12/12/2013 -,AUTRE : [STAND/TABLE],,
A+A,Médecin,L HIRONDEL MARC,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION NORMANDE DE CARDIOLOGIE, RECHERCHE ET EPIDÉMIOLOGIE - ANCRE,08/10/2013,08/10/2013 -,Autre,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION NORMANDE DE CARDIOLOGIE, RECHERCHE ET EPIDÉMIOLOGIE - ANCRE,18/02/2014,12/12/2013 -,Autre,,
ASTRAZENECA,Médecin,POTTIER HERVE,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,POTTIER HERVE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,POTTIER HERVE,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,POTTIER HERVE,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,RACHINE LAURENT,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,RACHINE LAURENT,10/09/2013,10/09/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Manipulateur d’électroradiologie médicale,RASSANT JEAN LOUIS,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BROUARD NAZERI BENEDICTE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CAILLET STEPHANE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,L HIRONDEL MARC,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PACHOT JEAN MICHEL,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POTTIER HERVE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
