A+A,Pharmacien,BIGNON RACHEL,28/11/2013,28/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DARRIEUX GUY,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,HOUBART NATHALIE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SAINT MARTIN MONIQUE,22/05/2014,22/05/2014 -,Formation,,
BOIRON,Autres types de personne morale,PHARMACIE DE LA PLACE,14/08/2013,14/08/2013 -,[RECHERCHE],,
Laboratoires Grünenthal SAS,Médecin,COOMANS PASCAL,12/06/2014,12/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SAINT MARTIN MONIQUE,12/06/2014,12/06/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,POINT DARNAUDERY JEANNE,19/10/2013,19/10/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,DARNAUDERY POINT JEANNE,08/10/2013,08/10/2013 - 08/10/2013,INVITATION,,
MENARINI FRANCE,Médecin,LOPEZ ARANGO JORGE,05/04/2014,05/04/2014 - 06/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,LOPEZ ARANGO JORGE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
NOVO NORDISK,Médecin,CLOT MICHELE,20/03/2014,20/03/2014 -,HOSPITALITE,,
NOVO NORDISK,Médecin,COOMANS PASCAL,20/03/2014,20/03/2014 -,HOSPITALITE,,
NOVO NORDISK,Médecin,JALLAIS COOMANS PAULE,20/03/2014,20/03/2014 -,HOSPITALITE,,
NOVO NORDISK,Médecin,LOPEZ ARANGO JORGE,20/03/2014,20/03/2014 -,HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,CLOT MICHELE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,COOMANS HELENE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,COOMANS HELENE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,COOMANS PASCAL,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,JALLAIS COOMANS PAULE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
