3M France,Chirurgien-dentiste,BOSCHIN GIUSEPPE,29/01/2014,29/01/2014 -,FORMATION,,
A+A,Médecin,WILLEM XAVIER,25/02/2013,25/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,WILLEM XAVIER,25/06/2013,24/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,WILLEM XAVIER,20/12/2012,19/12/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,WILLEM XAVIER,24/05/2013,23/05/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,WILLEM XAVIER,17/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,WILLEM XAVIER,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,HENNUYER AUDREY,17/12/2012,17/12/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,MACQUET BENOIT,28/11/2013,28/11/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,WILLEM XAVIER,26/09/2013,24/09/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,WILLEM XAVIER,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,VANDREPOTE FREDERIQUE,17/04/2014,17/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ACHTE FABIENNE,17/04/2014,17/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
BOIRON,Médecin,BERRY LAURENCE,28/01/2014,28/01/2014 -,[FORMATION],,
BOIRON,Médecin,BERRY LAURENCE,19/02/2014,19/02/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,BOIS JEAN PHILIPPE,21/05/2014,21/05/2014 - 21/05/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,BOURGAIN BENOIT,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,BOURGAIN BENOIT,21/05/2014,21/05/2014 - 21/05/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,GERARD ERIC,21/05/2014,21/05/2014 - 21/05/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,GERARD ERIC,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
