ABBOTT PRODUCTS SAS,Pharmacien,BENOLIEL MARTINE,03/01/2014,06/01/2014 - 10/01/2014,CONSEIL,,
Actelion Pharmaceuticals France,Association usager de santé,ASSOCIATION NATIONALE DES CARDIAQUES CONGENITAUX,20/12/2013,20/12/2013 -,SUBVENTIONS,,
Actelion Pharmaceuticals France,Association usager de santé,ASSOCIATION NATIONALE DES CARDIAQUES CONGENITAUX,10/06/2014,10/06/2014 -,SUBVENTIONS,,
AMGEN SAS,Fondation,ACTION D ECLAT,19/09/2013,19/09/2013 -,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
AMGEN SAS,Fondation,ACTION D ECLAT,19/11/2013,21/11/2013 - 03/12/2013,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
AMGEN SAS,Fondation,ACTION D ECLAT,15/11/2013,18/11/2013 - 03/12/2013,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
ASTELLAS PHARMA,Fondation,ACTION D ECLAT,19/12/2012,19/12/2012 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,16/09/2013,16/09/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,19/11/2013,19/11/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,22/11/2013,22/11/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,16/10/2013,16/10/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,08/10/2013,08/10/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,11/09/2013,11/09/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,11/12/2013,11/12/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,18/09/2013,18/09/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,09/07/2013,09/07/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,22/08/2013,22/08/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,15/07/2013,15/07/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,18/07/2013,18/07/2013 -,PUBLICITE,,
ASTELLAS PHARMA,Fondation,ACTION D'ECLAT,18/11/2013,18/11/2013 -,PUBLICITE,,
