A+A,Médecin,MAQUET FRANCOIS,07/02/2013,07/02/2013 -,ETUDE DE MARCHE,,
IPSEN PHARMA,Pharmacien,DE COURREGES ANNE,28/11/2013,28/11/2013 - 28/11/2013,CONVENTION HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,ROLLIN ERIC,28/01/2014,28/01/2014 - 28/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,MEVEL CAROLE,19/01/2014,19/01/2014 -,Congrès / Symposium,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,ROLLIN ERIC,22/10/2013,22/10/2013 -,AUTRE : [RP TFI et probiotiques],,
LOL PHARMA,Pharmacien,CEUS ET MENARD CEUS ET MENARD,17/07/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CEUS ET MENARD CEUS ET MENARD,30/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CEUS ET MENARD CEUS ET MENARD,17/07/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CEUS ET MENARD CEUS ET MENARD,17/07/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
SANOFI AVENTIS FRANCE,Association professionnel de santé,ASS. MARATHON BAIE MONT ST MICHEL,08/04/2014,08/04/2014 - 31/12/2014,Autre : [Partenariat scientifique],,
TEVA SANTE SAS,Autres types de personne morale,PHIE CEUS MENARD / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CEUS MENARD / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CEUS MENARD / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CEUS MENARD / SELARL,31/01/2014,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROLLIN / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
