A+A,Médecin,BIGARD DANIEL,26/06/2012,25/06/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,HAU DUMOULIN ELISABETH,14/01/2014,14/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,HAU DUMOULIN ELISABETH,08/10/2013,08/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BIGARD DANIEL,15/11/2013,15/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BIGARD DANIEL,25/04/2014,25/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BIGARD DANIEL,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BIGARD DANIEL,13/12/2013,13/12/2013 -,Formation,,
Becton Dickinson France SAS,Pharmacien,GROBOST BEATRICE,26/11/2013,26/11/2013 -,FORMATION,,
BOIRON,Pharmacien,GASPARINA CLAUDE,07/10/2013,07/10/2013 -,[RECHERCHE],,
Elixo SAS,Chirurgien-dentiste,SACCENTI FREDERIC,13/02/2014,13/02/2014 - 13/02/2014,Autre : [entretien],,
Elixo SAS,Médecin,HAU DUMOULIN ELISABETH,17/07/2013,17/07/2013 - 17/07/2013,Autre : [entretien],,
Elixo SAS,Médecin,HAU DUMOULIN ELISABETH,20/08/2013,20/08/2013 - 20/08/2013,Autre : [entretien],,
Elixo SAS,Pharmacien,GASPARINA C,30/12/2013,30/12/2013 - 30/12/2013,Autre : [entretien],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BIGARD DANIEL,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASADEI PUIS MICHELE,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HAU DUMOULIN ELISABETH,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PUIS PHILIPPE,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SDROBIS BOGDAN VASILE,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,BIGARD DANIEL,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,GUERIN SOPHIE,17/10/2013,17/10/2013 -,AUTRE,,
