3M France,Chirurgien-dentiste,ROLOFF CELINE,02/12/2013,02/12/2013 -,FORMATION,,
A+A,Médecin,HOUN SARATH,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HOUN SARATH,23/09/2013,23/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HOUN SARATH,01/08/2012,01/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HOUN SARATH,19/06/2012,19/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HOUN SARATH,09/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MAZET NATHALIE,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Houn Sarath,23/05/2014,23/05/2014 -,[Marketing],,
ASTRAZENECA,Médecin,ALEMANY DOMINIQUE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ALEMANY DOMINIQUE,05/09/2013,05/09/2013 -,Formation,,
ASTRAZENECA,Médecin,ANDRE EDOUARD,05/09/2013,05/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CORNET CAROLINE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CORNET CAROLINE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GIORGI SYLVAIN,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HOUN SARATH,05/09/2013,05/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HOUN SARATH,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TRON DE BOUCHONY BERNARD,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,TRON DE BOUCHONY BERNARD,28/11/2013,28/11/2013 -,Formation,,
Baxter SAS,Infirmier,RAOULT MICHELE,21/11/2013,16/01/2014 -,CONGRES / SYMPOSIUM,,
DAIICHI SANKYO FRANCE SAS,Médecin,GELISSE RICHARD,29/04/2014,29/04/2014 - 29/04/2014,Autre : [hospitalité],,
