A+A,Médecin,BELLEVALLEE PASCAL,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LABORIE GILLES,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,RIVIERE ALAIN,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,VERBRUGGHE PHILIPPE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,VERBRUGGHE PHILIPPE,12/02/2014,12/02/2014 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,BATAILLE COLINE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,BATAILLE COLINE,18/06/2014,18/06/2014 - 18/06/2014,Autre : [hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATAILLE COLINE,26/06/2014,26/06/2014 - 26/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATAILLE COLINE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLEVALLEE PASCAL,25/10/2013,25/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LABORIE GILLES,25/10/2013,25/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LABORIE GILLES,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIVIERE ALAIN,25/10/2013,25/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIVIERE ALAIN,26/06/2014,26/06/2014 - 26/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIVIERE ALAIN,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERBRUGGHE PHILIPPE,02/12/2013,02/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES ALCON,Médecin,ALEXANDROV ALEXANDRE,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Table ronde],,
LABORATOIRES ALCON,Médecin,ALEXANDROV ALEXANDRE,13/06/2014,13/06/2014 - 13/06/2014,Formation,,
LES LABORATOIRES SERVIER,Médecin,LABORIE GILLES,06/11/2013,06/11/2013 -,Autre : Manifestation scientifique,,
LFB BIOMEDICAMENTS,Médecin,DELABROUSSE MAYOUX JEAN PHILIPPE,22/03/2014,22/03/2014 - 22/03/2014,Congrès / Symposium,,
