ABBOTT FRANCE,Pharmacien,GENDT STÉPHANIE,05/06/2014,05/06/2014 - 05/06/2014,FORMATION,,
BIOGEN IDEC FRANCE,Médecin,FREDIERE GERARD,14/02/2014,14/02/2014 - 14/02/2014,CONVENTION D HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERPIN LAURENT,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LESAULT PIERRE FRANCOIS,02/12/2013,15/01/2014 - 18/01/2014,CONGRES,,
Lilly France SAS,Médecin,ALHOMME PATRICE,26/11/2013,26/11/2013 - 26/11/2013,INVITATION,,
LOL PHARMA,Pharmacien,AUBLIN NICOLAS AUBLIN NICOLAS,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,AUBLIN NICOLAS AUBLIN NICOLAS,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,AUBLIN NICOLAS AUBLIN NICOLAS,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,AUBLIN NICOLAS AUBLIN NICOLAS,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,HERISSON SANDRINE HERISSON SANDRINE,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,HERISSON SANDRINE HERISSON SANDRINE,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PIERRE FABRE MEDICAMENT,Médecin,PASQUINI FRANCK,23/05/2014,23/05/2014 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE AUX PORTES DE PARIS / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE AUX PORTES DE PARIS / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE AUX PORTES DE PARIS / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE AUX PORTES DE PARIS / SELARL,08/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
