A+A,Médecin,GIL SERGE,22/06/2012,22/06/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GIL SERGE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GIL SERGE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GIL SERGE,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GIL SERGE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MAYRAS MARIE CLAIRE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MAYRAS MARIE CLAIRE,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MAYRAS MARIE CLAIRE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MAYRAS MARIE CLAIRE,08/04/2014,08/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,GIL SERGE,14/03/2013,14/03/2013 - 14/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BENEFICE PIERRE,17/04/2014,17/04/2014 -,AUTRE : ORATEUR,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BENEFICE PIERRE,14/11/2013,17/12/2013 - 31/12/2014,CONSEIL,,
CHIESI SA,Médecin,MAYRAS MARIE CLAIRE,08/10/2013,08/10/2013 - 08/10/2013,Autre : HOSPITALITE RP,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE BENEFICE PHIE BENEFICE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BENEFICE,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BENEFICE,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BENEFICE,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIL SERGE,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAYRAS MARIE CLAIRE,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERARU ALEXANDRU,18/10/2013,20/11/2013 - 23/11/2013,CONGRES,,
