AMGEN SAS,Association professionnel de santé,FORMATION MEDICALE CONTINUE VALENCIENNOISE,30/09/2013,21/11/2013 - 21/11/2013,AUTRE [LOCATION DE STAND],,
ASTRAZENECA,Médecin,BOUTMY ANNELORE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUTMY ANNELORE,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUTMY ANNELORE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUTMY ANNELORE,27/11/2013,27/11/2013 -,Formation,,
BOIRON,Médecin,RUSU MONICA,15/10/2013,15/10/2013 -,[FORMATION],,
JANSSEN-CILAG,Médecin,BOUTMY ANNELORE,30/05/2013,30/05/2013 - 30/05/2013,CONGRES / SYMPOSIUM,,
LABORATOIRES CONVATEC,Infirmier,DERONNE SANDRINE,17/06/2014,17/06/2014 - 17/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,HURTREL FABIENNE,10/10/2013,10/10/2013 - 10/10/2013,NOUVEAUTE EN CICATRISATION,,
LABORATOIRES CONVATEC,Infirmier,MALLET DELPHINE,10/10/2013,10/10/2013 - 10/10/2013,NOUVEAUTE EN CICATRISATION,,
LABORATOIRES CONVATEC,Infirmier,SIHRENER FABIENNE,10/10/2013,10/10/2013 - 10/10/2013,NOUVEAUTE EN CICATRISATION,,
LABORATOIRES CONVATEC,Infirmier,SIRHENER FABIENNE,17/06/2014,17/06/2014 - 17/06/2014,AUTRE,,
LOL PHARMA,Pharmacien,LAISNE LUC LAISNE LUC,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LAISNE LUC LAISNE LUC,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Etablissement de santé,PHARMACIE LAISNE,11/09/2013,11/09/2013 -,EXPERT,,
MSD France,Médecin,RUSU MONICA,15/03/2012,15/03/2012 -,CONVENTION D HOSPITALITE,,
MUNDIPHARMA,Médecin,RUSU MONICA,29/10/2013,29/10/2013 -,FORMATION,,
TEVA SANTE SAS,Autres types de personne morale,LAVIEC ANNE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAISNE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAISNE,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
