A+A,Médecin,BARDOU JEROME,14/11/2013,13/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BARDOU JEROME,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PERON DENIS,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,TRANCHEVENT PIERRE,15/05/2014,15/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BARDOU JEROME,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUSNEL DOMINIQUE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GILBART ERIC,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PERON DENIS,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,TRANCHEVENT PIERRE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,BARDOU JEROME,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,BUNEL DOMINIQUE,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PERON DENIS,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,TRANCHEVENT PIERRE,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
LABORATOIRES CONVATEC,Infirmier,CHATAGNON CLAIRE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BARDOU JEROME,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,PERON DENIS,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,TRANCHEVENT PIERRE,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LASER,Médecin,TRANCHEVENT PIERRE,16/03/2013,16/03/2013 - 15/03/2018,RECHERCHE,,
MSD France,Médecin,BARDOU JEROME,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BUNEL DOMINIQUE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
