AMGEN SAS,Fondation,ECA CONSULTING,17/03/2014,31/12/2014 - 14/02/2014,AUTRE [CONTRAT DE CONSULTANT],,
ASTRAZENECA,Association professionnel de santé,Association des Médecins de la Région d'Yvetot,19/09/2013,19/09/2013 -,Autre,,
ASTRAZENECA,Etudiant,LUDER SIMON,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Etudiant,LUDER SIMON,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BERTHELOT ALAIN,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BIREMBAUT JEAN CLAUDE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BIREMBAUT JEAN CLAUDE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BIREMBAUT JEAN CLAUDE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BIREMBAUT Jean Claude,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,BONNEIL EMMANUELLE,11/04/2014,11/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNEIL EMMANUELLE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BROUSSE HUBERT,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BROUSSE HUBERT,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CEVAER HERVE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CEVAER HERVE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CEVAER VERIN MARIE PASCALE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CEVAER VERIN MARIE PASCALE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DAUTREPPE ANNE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DAUTREPPE ANNE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DESAINT JACQUES,19/09/2013,19/09/2013 -,Formation,,
