ASTRAZENECA,Médecin,ALLIRAND EMILIE,15/05/2014,15/05/2014 -,Formation,,
MSD France,Médecin,BAUZAC MICHEL,03/07/2012,03/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,21/06/2012,21/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,13/03/2012,13/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,24/01/2012,24/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,02/10/2012,02/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,27/03/2012,27/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,19/06/2012,19/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,23/02/2012,23/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BAUZAC MICHEL,25/10/2012,25/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,ZAGHIR YOUSSEF,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ZAGHIR YOUSSEF,23/05/2013,23/05/2013 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,BREYSSE SEVERINE,30/09/2013,30/09/2013 - 30/09/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,CROZE CAROLINE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,MADELMONT SOPHIE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,SIGAUD LAURIE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALETTE NADIA,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE PERRAZI / SELARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
