A+A,Médecin,LAFEVE CHRISTIAN,20/05/2013,17/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LAFEVE CHRISTIAN,18/11/2013,18/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LAFEVE CHRISTIAN,10/03/2014,10/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LAFEVE CHRISTIAN,12/05/2014,12/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,11/06/2014,11/06/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SEVIL ERIC,23/01/2014,23/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,FORASCU RUXANDRA,05/06/2014,05/06/2014 - 08/06/2014,CONGRES / SYMPOSIUM,,
Bayer HealthCare SAS,Médecin,HAZARD WANDJI EMMELYNE,06/03/2014,06/03/2014 - 06/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LAFEVE CHRISTIAN,06/03/2014,06/03/2014 - 06/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,SEVIL ERIC,06/03/2014,06/03/2014 - 06/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Pharmacien,PAYEN CHAVATTE LAURENCE,26/03/2013,26/03/2013 - 26/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,GUILLAUME JEAN YVES,06/11/2013,06/11/2013 - 06/11/2013,Autre : HOSPITALITE RP,,
Devicor Medical,Médecin,DESCHAMPS DANIEL,06/03/2014,06/03/2014 - 10/03/2014,CONGRES,,
LABORATOIRES ALCON,Médecin,LASOTA PIOTR RAFAL,11/05/2014,11/05/2014 - 11/05/2014,CONGRES SYMPOSIUM,,
LASER,Médecin,HAZARD WANDJI EMMELYNE,03/09/2013,03/09/2013 - 31/12/2013,RECHERCHE,,
