A+A,Médecin,FEITZ ANDRE,09/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,15/11/2013,15/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,17/01/2014,17/01/2014 -,Formation,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,15/11/2013,15/11/2013 -,Formation,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,WATRIN BERNARD,17/01/2014,17/01/2014 -,Formation,,
ASTRAZENECA,Médecin,WATRIN BERNARD,29/11/2013,29/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SCHMIDT THIERRY,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SCHMIDT THIERRY,24/10/2013,24/10/2013 -,Formation,,
CHIESI SA,Médecin,AROUS GILLES,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,24/01/2014,24/01/2014 - 25/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,13/12/2013,13/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
