A+A,Pharmacien,HAMZAOUI ABDELKRIM,10/09/2013,10/09/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRANGIER BERNARD,14/04/2014,14/04/2014 -,Formation,,
ASTRAZENECA,Médecin,RALAIARILIVA Andrianina,18/10/2013,18/10/2013 -,Congrès / Symposium,,
JANSSEN-CILAG,Médecin,RALAIARILIVA ANDRIANINA,22/01/2014,22/01/2014 - 24/01/2014,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Pharmacien,HAMZAOUI KARIM,08/10/2013,08/10/2013 - 08/10/2013,CONGRES / SYMPOSIUM,,
Laboratoires Grünenthal SAS,Médecin,BRANGIER BERNARD,10/04/2014,10/04/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,MATUSOIU CORNEL,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Pharmacien,HAMZAOUI KARIM,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,BRANGIER BERNARD,04/02/2014,04/02/2014 - 04/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,GAUDET ELYSE,04/02/2014,04/02/2014 - 04/02/2014,Autre : Réunion scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,BRANGIER BERNARD,28/11/2013,28/11/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PIGNIDE BUFFIERE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PIGNIDE BUFFIERE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PIGNIDE BUFFIERE,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PIGNIDE BUFFIERE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
