BOIRON,Médecin,HILLY LAMBERT MARIE ALIX,24/09/2013,24/09/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HILLY JEAN PIERRE,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,HILLY JEAN PIERRE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,HILLY LAMBERT MARIE ALIX,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,HILLY LAMBERT MARIE ALIX,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Pharmacien,MOUTON DOMINIQUE FRANCOISE,17/10/2013,17/10/2013 -,AUTRE,,
LASER,Médecin,HILLY JEAN PIERRE,18/04/2012,18/04/2012 - 31/12/2013,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,HILLY JEAN-PIERRE,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LAMBERT HILLY MARIE-ALIX,12/06/2014,12/06/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,LAMBERT HILLY MARIE-ALIX,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MATHY HUGUES,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
RESAL,Médecin,HILLY JEAN PIERRE,18/04/2012,18/04/2012 - 31/12/2013,RECHERCHE,,
