BOIRON CARAIBES,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALEY STEPHANE,12/12/2013,12/12/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MACNI JEAN MICHEL,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,AUGUSTE Michel,11/12/2013,11/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MACNI Jean Michel,30/01/2014,30/01/2014 -,Autre : Manifestation scientifique,,
NOVO NORDISK,Médecin,MACNI JEAN MICHEL,17/05/2014,17/05/2014 -,HOSPITALITE,,
NOVO NORDISK,Médecin,MACNI JEAN MICHEL,13/12/2013,13/12/2013 -,[HOSPITALITE],,
PIERRE FABRE MEDICAMENT,Médecin,MACNI JEAN MICHEL,20/02/2014,20/02/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MACNI JEAN MICHEL,03/07/2013,03/07/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHARMACIE RENARD,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHARMACIE RENARD,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE KREYOLE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
