3M France,Chirurgien-dentiste,DUFOUR MARION,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,PAYEN JEAN FRANCOIS,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
AMGEN SAS,Fondation,AXESS RESEARCH,03/06/2013,29/05/2013 - 31/05/2013,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
AMGEN SAS,Fondation,AXESS RESEARCH,26/03/2013,26/03/2013 - 15/06/2013,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,25/11/2013,25/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,17/02/2014,17/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,29/10/2013,29/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,14/10/2013,14/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,01/07/2013,01/07/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,02/09/2013,02/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PASQUINELLI ALAIN,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PILLOT JEAN LOUIS,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PILLOT JEAN LOUIS,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PILLOT JEAN LOUIS,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PILLOT JEAN LOUIS,12/09/2013,12/09/2013 -,Formation,,
Bayer HealthCare SAS,Fondation,AXESS RESEARCH,17/02/2014,17/02/2014 - 31/05/2014,AUTRE : Etudes de Marché,,
Bayer HealthCare SAS,Fondation,AXESS RESEARCH,24/01/2014,27/01/2014 - 31/05/2014,AUTRE : Etudes de Marché,,
JANSSEN-CILAG,Médecin,SLUYS MARINA,12/04/2013,12/04/2013 - 12/04/2013,CONGRES / SYMPOSIUM,,
