A+A,Médecin,DENNIS FRANK,26/11/2012,21/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ANTONIAZZI DANIEL,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,ANTONIAZZI DANIEL,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ANTONIAZZI FLORA,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ANTONIAZZI ROMUALD,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ANTONIAZZI ROMUALD,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DECOUPIGNY PIERRE MARIE,03/04/2014,03/04/2014 -,Formation,,
Axess Research,Médecin,DEBOMY JEAN FRANCOIS,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
Axess Research,Médecin,STAS DOMINIQUE,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,ALLARD FRANCOIS XAVIER,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,ALLARD FRANCOIS XAVIER,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DEBOMY JEAN FRANCOIS,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DEBOMY JEAN FRANCOIS,07/12/2013,07/12/2013 - 08/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DECOUPIGNY PIERRE MARIE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DENNIS FRANK,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
JANSSEN-CILAG,Médecin,ANTONIAZZI ROMUALD,13/06/2013,13/06/2013 - 13/06/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,STAS DOMINIQUE,13/06/2013,13/06/2013 - 13/06/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLARD FRANCOIS XAVIER,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANTONIAZZI DANIEL,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANTONIAZZI ROMUALD,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
