ARROW GENERIQUES SAS,Pharmacien,MAZENQ MYRIAM,03/03/2014,24/04/2014 -,FORMATION,,
ASTRAZENECA,Médecin,BARTHES TREPP VIRGINIE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BARTHES TREPP VIRGINIE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,LACOMBE JEAN,15/05/2014,15/05/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARTHES TREPP VIRGINIE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LACOMBE JEAN,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIALAT JEAN MARIE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SERMET COUVEINHES SYLVIE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,ALARET SYLVIE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,CROZES MARIE FRANCOISE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,ESTIVALS MARTINE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,GAYRARD MURIEL,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,LEGRAY LOUBIERE VERONIQUE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,POUJADE GUALLAR SOPHIE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,VERNHES BASTIDE ANNE,19/06/2014,19/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES CONVATEC,Association professionnel de santé,SYNDICAT DES INFIRMIERS ET INFIRMIERES LIBERAUX DE L AVEYRON FNI,17/03/2014,17/03/2014 - 17/03/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,RIFF PIERRE,19/01/2014,19/01/2014 - 20/01/2014,CONGRES,,
Laboratoires Grünenthal SAS,Fondation,PHARMACIE JAUDON,19/10/2012,19/10/2012 -,PRESTATION,,
LUNDBECK SAS,Médecin,SERMET COUVEINHES SYLVIE,23/01/2014,23/01/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
MSD France,Médecin,LACOMBE JEAN,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
