LABORATOIRES CONVATEC,Infirmier,LE BRUN FRANCOISE,19/01/2014,19/01/2014 - 20/01/2014,CONGRES,,
LOL PHARMA,Pharmacien,ROLLANDO JEAN PAUL ROLLANDO JEAN PAUL,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ROLLANDO JEAN PAUL ROLLANDO JEAN PAUL,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ROLLANDO JEAN PAUL ROLLANDO JEAN PAUL,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,DUPRE ERIC,25/03/2014,25/03/2014 - 25/03/2014,Autre : Réunion scientifique,,
MSD France,Pharmacien,POLITIS MARIE ANNICK,13/06/2013,13/06/2013 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,DUPRE ERIC,20/11/2013,20/11/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,BOUSQUET MAELLE,15/10/2013,15/10/2013 - 15/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,JUBIN SOIZIC,07/02/2014,07/02/2014 - 07/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,PERINEAU AGNES,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,PERINEAU AGNES,07/02/2014,07/02/2014 - 07/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE FRESNE SOPHIE,07/02/2014,07/02/2014 - 07/02/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE PERINEAU / SELARL,11/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROLLANDO,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROLLANDO,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROLLANDO,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROLLANDO,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Pharmacien,ROLLANDO JEAN,23/04/2014,23/04/2014 - 23/04/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
