AbbVie,Médecin,MARGAILLAN STEPHANIE,10/06/2014,10/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,ALBERGE MARGAILLAN STEPHANIE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ALBERGE MARGAILLAN STEPHANIE,02/07/2013,02/07/2013 -,Formation,,
Baxter SAS,Infirmier,LANDAU REMY LISE,21/11/2013,16/01/2014 -,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALBERGE MARGAILLAN STEPHANIE,17/09/2013,17/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LOL PHARMA,Pharmacien,GILIBERT LANGEVIN GILIBERT LANGEVIN,30/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PLEIN SUD,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PLEIN SUD,08/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PLEIN SUD,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PLEIN SUD,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Pharmacien,GIANNECHINI JEAN MARC,12/12/2013,12/12/2013 -,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
