ASTELLAS PHARMA,Médecin,DORFFER DENIS,17/10/2013,17/10/2013 -,RECHERCHE,,
ASTRAZENECA,Etudiant,YANNAKIS EMILIE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CHRISTEN PIERRE,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GUTZWILLER Claude,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,ICHTERTZ CLAUDE,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,KEMPF MICHEL,19/12/2013,19/12/2013 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STEPHANN SYLVIE,20/11/2013,20/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BART ANTOINE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BART ANTOINE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BART ANTOINE,07/05/2014,07/05/2014 - 07/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORFFER DENIS,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORFFER DENIS,07/05/2014,07/05/2014 - 07/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORFFER DENIS,27/11/2013,27/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ICHTERTZ CLAUDE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ICHTERTZ CLAUDE,27/11/2013,27/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ICHTERTZ CLAUDE,07/05/2014,07/05/2014 - 07/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ICHTERTZ CLAUDE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KEMPF MICHEL,27/11/2013,27/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEIBUNDGUTH RENE,27/11/2013,27/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEIBUNDGUTH RENE,07/05/2014,07/05/2014 - 07/05/2014,Autre : [Convention d'Hospitalité],,
