A+A,Médecin,CARRON ANNABELLE,15/11/2012,14/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRENOT ALAIN,12/03/2014,12/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BRENOT ALAIN,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,KOENIG GEORGES,25/02/2014,25/02/2014 -,Formation,,
ASTRAZENECA,Médecin,KOENIG GEORGES,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,KOENIG GEORGES,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,KOENIG GEORGES,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MALIGE YVES,18/02/2014,18/02/2014 -,Formation,,
BRISTOL-MYERS SQUIBB,Médecin,BRENOT ALAIN,11/06/2014,11/06/2014 -,Autre : [Orateur],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE ANDREINI PHIE ANDREINI,01/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE ANDREINI PHIE ANDREINI,03/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE ANDREINI PHIE ANDREINI,10/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE ANDREINI PHIE ANDREINI,01/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE STREB BOHLER PHIE STREB BOHLER,23/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRENOT ALAIN,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRENOT ALAIN,05/11/2013,05/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRENOT ALAIN,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRENOT ALAIN,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG GEORGES,05/11/2013,05/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG GEORGES,24/09/2013,24/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
