A+A,Médecin,FLAMENT JEAN MICHEL,04/06/2013,04/06/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LEFEBVRE JOSE,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFEBVRE JOSE,23/01/2014,23/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,LEFEBVRE JOSE,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LEFEBVRE JOSE,14/11/2013,14/11/2013 - 14/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEFEBVRE JOSE,03/04/2014,03/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,ANSART MARINE,17/06/2014,17/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,26/06/2014,26/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,23/06/2014,23/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,20/01/2014,20/01/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,16/01/2014,16/01/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,19/05/2014,19/05/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,15/10/2013,15/10/2013 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,03/12/2013,03/12/2013 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,17/06/2014,17/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,07/04/2014,07/04/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,10/01/2014,10/01/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,04/02/2014,04/02/2014 -,[FORMATION],,
BOIRON,Médecin,LEFEBVRE JOSE,15/04/2014,15/04/2014 -,[FORMATION],,
