A+A,Médecin,OESTERLE BENEDICTE,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
BOIRON,Médecin,OESTERLE BENEDICTE,15/10/2013,15/10/2013 -,[FORMATION],,
LES LABORATOIRES SERVIER,Médecin,KOEGLER THIERRY,26/11/2013,26/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,OESTERLE BENEDICTE,26/11/2013,26/11/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,OESTERLE BENEDICTE,18/03/2014,18/03/2014 - 18/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,OESTERLE NICOLAS,15/05/2014,15/05/2014 - 15/05/2014,Autre : Réunion scientifique,,
MSD France,Médecin,KOEGLER THIERRY,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,OESTERLE BENEDICTE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,OESTERLE BENEDICTE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,OESTERLE NICOLAS,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,OESTERLE BENEDICTE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
VEXIM SA,Masseur-kinésithérapeute,COTTINEAU GAELLE,13/01/2014,17/02/2014 - 31/12/2014,FORMATION,,
VEXIM SA,Masseur-kinésithérapeute,JACOB-CHIA YVES,13/01/2014,17/02/2014 - 31/12/2014,FORMATION,,
VEXIM SA,Masseur-kinésithérapeute,MASCHINO SIMON,13/01/2014,17/02/2014 - 31/12/2014,FORMATION,,
