3M France,Association professionnel de santé,ODFOC 84,05/06/2014,05/06/2014 - 05/06/2014,AUTRE : [STAND/TABLE],,
AbbVie,Médecin,ANDANSON PHILIPPE,19/12/2013,19/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,ANDANSON PHILIPPE,19/12/2013,19/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,ROUGER BERNARD,15/04/2014,15/04/2014 -,AUTRE: [CONTRAT DE COLLABORATION SCIENTIFIQUE],,
All Global,Médecin,Baret Jean,24/04/2014,24/04/2014 -,[Marketing],,
All Global,Médecin,Baret Jean,11/04/2014,11/04/2014 -,[Marketing],,
AMGEN SAS,Association professionnel de santé,ASSOCIATION LRAC,20/05/2014,20/05/2014 - 24/05/2014,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
AMGEN SAS,Association professionnel de santé,LRAC   LA RECHERCHE ASSOCIEE EN CANCEROLOGIE,20/05/2014,20/05/2014 - 24/05/2014,AUTRE [CONTRAT DE PRESTATION DE SERVICE],,
ASPIDE AESTHETIC,Médecin,MICHAILLE-ZAKARIAN BEATRICE,20/08/2013,27/09/2013 - 28/09/2013,AUTRE:[CONVENTION DE PRESTATION],,
ASPIDE AESTHETIC,Médecin,MICHAILLE-ZAKARIAN BEATRICE,03/02/2014,01/01/2014 - 31/12/2014,AUTRE: [CONTRAT DE PRESTATION],,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION POUR LA RECHERCHE CARDIOLOGIQUE AVIGNONNAISE - ARCA,11/06/2014,01/04/2014 -,Recherche,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION POUR LA RECHERCHE CARDIOLOGIQUE AVIGNONNAISE - ARCA,01/04/2014,01/04/2014 -,Recherche,,
ASTRAZENECA,Médecin,ARIZZI ANDANSON GHISLAINE,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,ARIZZI ANDANSON GHISLAINE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GASPARD ERIC,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GUEROULT ISABELLE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LARDE PATRICIA,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LARDE PATRICIA,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LARDE PATRICIA,05/09/2013,05/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LARDE PATRICIA,03/10/2013,03/10/2013 -,Formation,,
