A+A,Pharmacien,CHENILLEAU ALAIN,10/02/2014,04/02/2014 -,ETUDE DE MARCHE,,
ALK-Abelló,Médecin,PUILLANDRE ERICK,07/01/2012,07/01/2012 -,Autre : [Collaboration Scientifique],,
ALK-Abelló,Médecin,PUILLANDRE ERICK,14/11/2013,14/11/2013 - 14/11/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,PUILLANDRE ERICK,11/01/2013,11/01/2013 -,RECHERCHE,,
ALK-Abelló,Médecin,PUILLANDRE ERICK,10/04/2014,10/04/2014 - 10/04/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,PUILLANDRE ERICK,06/05/2014,06/05/2014 - 06/05/2014,Autre : RÃ©union scientifique,,
ASTELLAS PHARMA,Médecin,BOTHOREL PIERRE,28/10/2013,28/10/2013 -,RECHERCHE,,
ASTELLAS PHARMA,Médecin,BOTHOREL PIERRE,04/06/2014,04/06/2014 - 06/06/2014,CONGRES / SYMPOSIUM,,
ASTRAZENECA,Médecin,BEAU FRANCIS,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BROUSSE MICHELE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CARCIENTE DIDIER,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,CARCIENTE DIDIER,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CARCIENTE DIDIER,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CARCIENTE DIDIER,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CHARPENTIER CHRISTINE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHARPENTIER CHRISTINE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DUPAS JEAN YVES,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPAS JEAN YVES,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,HOROVITZ ALICE,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HOROVITZ ALICE,06/05/2014,06/05/2014 -,Formation,,
