A+A,Médecin,PASSEMARD PIERRE OLIVIER,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Rey Rejane,04/10/2013,04/10/2013 -,[Marketing],,
ASTRAZENECA,Médecin,AUBOIS PIERRE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,AUBOIS PIERRE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANOVA ISABELLE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANOVA ISABELLE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CORRE CANAC VANESSA,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CORRE CANAC VANESSA,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JEAN FRANCOISE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JEAN FRANCOISE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TURCON ROUANE ELISABETH,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TURCON ROUANE ELISABETH,05/12/2013,05/12/2013 -,Formation,,
BOIRON,Médecin,CHANUS HERVE,19/11/2013,19/11/2013 -,[FORMATION],,
BOIRON,Médecin,CHANUS HERVE,21/01/2014,21/01/2014 -,[FORMATION],,
BOIRON,Médecin,CHANUS HERVE,18/03/2014,18/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,ENCOGNERE CELINE,15/04/2014,15/04/2014 -,[FORMATION],,
BRISTOL-MYERS SQUIBB,Médecin,ROTILY MICHEL,25/11/2013,15/12/2013 -,Autre : [Consultant (HCP)],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AUBOIS PIERRE,24/09/2013,24/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUMET JOCELYNE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,GOURRAUD ROBERT STEPHANIE,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Convention d'Hospitalité],,
