A+A,Médecin,MIGNONAT MARC,16/02/2012,16/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CRAUSTE ALAIN,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DUPUY JEAN PIERRE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SAUZON JEAN LOUIS,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,SAUZON JEAN LOUIS,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SAUZON JEAN LOUIS,14/01/2014,14/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,CRAUSTE ALAIN,20/03/2014,20/03/2014 - 21/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CRAUSTE ALAIN,27/09/2013,27/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUPUY JEAN PIERRE,08/11/2013,08/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUPUY JEAN PIERRE,11/12/2013,11/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUPUY JEAN PIERRE,16/04/2014,16/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,LEVY CHRISTINE,12/06/2014,12/06/2014 -,[FORMATION],,
CHIESI SA,Médecin,CRAUSTE ALAIN,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
