A+A,Médecin,ALLEX JEAN NOEL,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
BOIRON,Pharmacien,LABROSSE EVELYNE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,LABROSSE-GENEVOIS EVELYNE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LECATRE DIDIER,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LECATRE DIDIER,26/11/2013,26/11/2013 -,[FORMATION],,
LES LABORATOIRES SERVIER,Médecin,LACARELLE JEAN-MICHEL,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,ALLEX JEAN NOEL,28/06/2012,28/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LACARELLE JEAN MICHEL,28/06/2012,28/06/2012 -,CONVENTION D HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / EURL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / EURL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / EURL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA FONTAINE / SELARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA FONTAINE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
