A+A,Médecin,FAULQUE PATRICE,11/09/2012,11/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FAULQUE PATRICE,18/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,BRETEAU GUY,14/05/2013,14/05/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,BRETEAU GUY,10/02/2014,10/02/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Infirmier,BEIGNON VALERIE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CASTRIQUE LAURENT,22/01/2014,22/01/2014 -,Formation,,
ASTRAZENECA,Médecin,FAULQUE PATRICE,22/01/2014,22/01/2014 -,Formation,,
ASTRAZENECA,Médecin,FAULQUE PATRICE,15/05/2014,15/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,LEBLAY FREDERIC,23/01/2014,23/01/2014 - 25/01/2014,Invitation à un congrès,,
IPSEN PHARMA,Médecin,FAULQUE PATRICE,10/10/2013,10/10/2013 -,CONVENTION HOSPITALITE,,
JANSSEN-CILAG,Pharmacien,BEAUFILS MARIE CHRISTINE,08/10/2013,08/10/2013 - 08/10/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,07/08/2012,07/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,29/08/2012,29/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,24/08/2012,24/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,28/08/2012,28/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,27/08/2012,27/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,04/09/2012,04/09/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL BIOLOIR, LABORATOIRE D'ANALYSES MÉDICALES,27/08/2012,27/08/2012 -,Recherche,,
LABORATOIRES ALCON,Médecin,BEN KEMOUN PAULE ANNICK,06/02/2014,06/02/2014 - 06/02/2014,Autre : [Table ronde],,
LABORATOIRES ALCON,Médecin,BEN KEMOUN PAULE ANNICK,11/05/2014,11/05/2014 - 11/05/2014,CONGRES SYMPOSIUM,,
