A+A,Médecin,MERLIN JEAN MICHEL,29/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,PRIZAC JACQUES,21/06/2014,21/06/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,BROGNIART ANTHONY,02/04/2014,02/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CORNEE ALAIN,02/04/2014,02/04/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CORNEE ALAIN,04/07/2013,04/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,BROGNIART ANTHONY,19/08/2013,19/08/2013 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,MERLIN JEAN-MICHEL,18/12/2013,18/12/2013 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,PRIZAC JACQUES,16/10/2013,16/10/2013 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,PRIZAC JACQUES,12/12/2013,12/12/2013 -,Recherche,,
Lilly France SAS,Médecin,BROGNIART ANTHONY,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MENARINI FRANCE,Médecin,BROGNIART ANTHONY,13/06/2014,13/06/2014 - 13/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,BROGNIART ANTHONY,05/04/2014,05/04/2014 - 06/04/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,CORNEE ALAIN,26/11/2013,26/11/2013 - 26/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MERLIN JEAN MICHEL,26/11/2013,26/11/2013 - 26/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PLANCOT LISE,26/11/2013,26/11/2013 - 26/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PRIZAC JACQUES,26/11/2013,26/11/2013 - 26/11/2013,Convention d'Hospitalité,,
