A+A,Pharmacien,CARNEL CORINNE,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRAMI MARTINE,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BRAMI MARTINE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRAMI MARTINE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BRAMI MARTINE,11/09/2013,11/09/2013 -,Formation,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE CARNEL,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE CARNEL,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LOL PHARMA,Pharmacien,CARNEL CARNEL,03/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CARNEL CARNEL,03/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CARNEL CARNEL,14/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,BRAMI MARTINE,06/05/2014,06/05/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRAMI MARTINE,04/09/2012,04/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRAMI MARTINE,04/04/2012,04/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRAMI MARTINE,25/04/2012,25/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRAMI MARTINE,15/03/2012,15/03/2012 -,CONVENTION D HOSPITALITE,,
Smith & Nephew S.A.S.,Infirmier,LOEHR SYLVIE,03/01/2014,19/01/2014 - 21/01/2014,CONVENTION D'HOSPITALITE (CONGRES / SYMPOSIUM),,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'YSIEUX / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'YSIEUX / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'YSIEUX / SNC,08/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'YSIEUX / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
