3M France,Association professionnel de santé,CIOOL (CERCLE D'IMPLANTOLOGIE ORALE DE L'OUEST LYONNAIS),05/05/2014,15/05/2014 - 15/05/2014,AUTRE : [STAND/TABLE],,
3M France,Chirurgien-dentiste,CHOMEL ERIC,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,BRUN GENEVIEVE,13/08/2013,13/08/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CAMPEAN LIA,19/03/2012,19/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CONUS JEAN MARC,09/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FRADIN MARTINE,23/07/2013,23/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,KLIOUA NADIA,24/10/2012,24/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MARDINI RAED,22/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,POISSON ALICE,14/01/2013,14/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,TARGE PIERRE,13/02/2012,10/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,TARGE PIERRE,21/03/2012,20/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,TARGE PIERRE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,TOMASI CHRISTINE,11/02/2013,11/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,TOMASI CHRISTINE,06/11/2012,06/11/2012 -,ETUDE DE MARCHE,,
AbbVie,Fondation,STEVE,23/09/2013,23/09/2013 -,CONSEIL,,
AbbVie,Fondation,STEVE,11/06/2014,11/06/2014 -,AUTRE: [CONTRAT DE PRESTATIONS DE SERVICES],,
AbbVie,Fondation,STEVE,11/02/2014,11/02/2014 -,AUTRE: [CONTRAT DE PRESTATIONS DE SERVICES],,
AbbVie,Médecin,CORRAZE JEAN FRANCOIS,11/10/2013,11/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,TARGE PIERRE,10/05/2014,10/05/2014 -,RECHERCHE,,
ALK-Abelló,Médecin,COURVOISIER LUCILE,15/04/2014,15/04/2014 - 18/04/2014,CongrÃ¨s/symposium,,
