ASTRAZENECA,Médecin,BOIS Damien,29/11/2013,29/11/2013 -,Congrès / Symposium,,
Bayer HealthCare SAS,Médecin,KOUOTZE ISABELLE,24/06/2014,24/06/2014 - 24/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOIS DAMIEN,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,BOIS DAMIEN,16/06/2014,16/06/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,CLEMENT MICHEL,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CLEMENT-DUMAS BENEDICTE,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CLEMENT-DUMAS BENEDICTE,07/11/2013,07/11/2013 -,Recherche,,
LOL PHARMA,Pharmacien,VALENTIN ALAIN VALENTIN ALAIN,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VALENTIN ALAIN VALENTIN ALAIN,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PASCALEO,Médecin,CLEMENT DUMAS BENEDICTE,21/05/2014,21/05/2014 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,CLEMENT MICHEL,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,CLEMENT DUMAS BENEDICTE,20/12/2013,20/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,CLEMENT DUMAS BENEDICTE,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,KOUOTZE ISABELLE,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,POINARD JACQUES,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,VALLET REMY,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,VANDAMME PIERRE,10/10/2013,10/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,VANDAMME PIERRE,05/12/2013,05/12/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,BEAL ALINE,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,KOUOTZE ISABELLE,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
