ASTRAZENECA,Médecin,CANTON JULIE,10/09/2013,10/09/2013 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,DUPOUY JEAN,05/03/2014,05/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DUPOUY JEAN,05/11/2013,05/11/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,LARRIEU ARGUILLE HERVE LARRIEU ARGUILLE HERVE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LARRIEU ARGUILLE HERVE LARRIEU ARGUILLE HERVE,01/07/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LARRIEU ARGUILLE HERVE LARRIEU ARGUILLE HERVE,01/07/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LARRIEU ARGUILLE HERVE LARRIEU ARGUILLE HERVE,01/07/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LARRIEU ARGUILLE HERVE LARRIEU ARGUILLE HERVE,01/07/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,DUPOUY JEAN,11/06/2014,11/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROLLAND DIDIER,19/03/2014,19/03/2014 -,CONVENTION D’HOSPITALITÉ,,
PASCALEO,Médecin,BORDENAVE JEAN PIERRE,29/10/2013,29/10/2013 -,AUTRE,,
PASCALEO,Médecin,BORDENAVE JEAN PIERRE,26/11/2013,26/11/2013 -,AUTRE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LARRIEU-ARGUILLE / SELAS,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
