A+A,Médecin,DUCROCQ MARC,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
DAIICHI SANKYO FRANCE SAS,Médecin,DUCROCQ MARC,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
LES LABORATOIRES SERVIER,Médecin,DUCROCQ MARC,10/12/2013,10/12/2013 -,Autre : Manifestation scientifique,,
MSD France,Pharmacien,BOUDJERADA NORA,03/10/2013,03/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,BOUDJERADA NORA,10/03/2014,10/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SA VALERIE,03/10/2013,03/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SA VALERIE,10/03/2014,10/03/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,DUCROCQ MARC,11/03/2014,11/03/2014 - 11/03/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE LERMITE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LERMITE / SELARL,15/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LERMITE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
