A+A,Médecin,LAGOUTTE NATHALIE,04/11/2013,04/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CASAL VAILLE DAMIA,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CASAL VAILLE DAMIA,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LAGOUTTE NATHALIE,28/01/2014,28/01/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAGOUTTE NATHALIE,13/02/2014,13/02/2014 - 13/02/2014,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
MSD France,Médecin,CASAL VAILLE DAMIA,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CASAL VAILLE DAMIA,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CASAL VAILLE DAMIA,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COUSTOLS VALAT MAGALI,18/03/2014,18/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FRAYSSE CASAL MONIQUE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
ROTTAPHARM SAS,Médecin,ROQUEFORT JEAN,21/03/2012,21/03/2012 - 24/03/2012,ECCEO,,
