A+A,Médecin,KERLEAU MICHEL,22/02/2012,22/02/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Kerleau Michel,13/06/2014,13/06/2014 -,[Marketing],,
All Global,Médecin,Kerleau Michel,25/01/2014,25/01/2014 -,[Marketing],,
All Global,Médecin,Kerleau Michel,30/05/2014,30/05/2014 -,[Marketing],,
All Global,Médecin,Kerleau Michel,12/06/2014,12/06/2014 -,[Marketing],,
LES LABORATOIRES SERVIER,Médecin,KERLEAU MICHEL,23/01/2014,23/01/2014 -,Recherche,,
M3 Global Research Ltd,Médecin,Michel Kerleau,22/04/2014,22/04/2014 -,Marketing,,
SANOFI AVENTIS FRANCE,Pharmacien,JOLY SYLVIE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Réunion],,
STETHOS,Médecin,KERLEAU Michel,01/01/2014,01/01/2014 -,MARKETING,,
WorldOne Group B.V.,Médecin,KERLEAU MICHEL,09/04/2014,09/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KERLEAU MICHEL,06/12/2013,06/12/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KERLEAU MICHEL,28/01/2014,28/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KERLEAU MICHEL,26/06/2014,26/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
